mission,name,start,end,latitude,longitude,count,currCount,prevCount
MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo ,14-Jul,Present ,-4.038333,21.758664,,,
Balkans,Balkans,,,43.37822,25.059481,,,
BNUB,UN Office in Burundi,,,-3.35903,29.338465,,,
Central Africa,Central Africa,,,2.318462,19.56871,,,
Lebanon,Lebanon,,,33.854721,35.862285,,,
Libya,Libya,,,26.3351,17.228331,,,
Middle East,Middle East,,,29.298528,42.55096,,,
MINURSO,United Nations Mission for the Referendum in Western Sahara ,Apr-95,present ,24.215527,-12.885834,,,
MINUSTAH,United Nations Stabilization Mission in Haiti ,8-Jun,Present ,18.971187,-72.285215,,,
Somalia,Somalia,,,5.152149,46.199616,,,
Sudan,Sudan,,,12.862807,30.217636,,,
Syria,Syria,,,34.802075,38.996815,,,
UNAMA,United Nations Assistance Mission in Afghanistan,,,33.93911,67.709953,,,
UNAMI,United Nations Assistance Mission for Iraq,,,33.223191,43.679291,,,
UNAMID,African Union/United Nations Hybrid operation in Darfur,11-Jul,Present ,14.378275,24.904221,,,
UNDOF,United Nations Disengagement Observer Force ,Jun-78,Present ,32.99182,35.68973,,,
UNFICYP,United Nations Peacekeeping Force in Cyprus ,Mar-68,Present ,35.126413,33.429859,,,
UNIFIL,United Nations Interim Force in Lebanon ,Mar-82,Present ,33.854721,35.862285,,,
UNIPSIL,United Nations Integrated Peacebuilding Office in Sierra Leone,,,8.460555,-11.779889,,,
UNISFA,United Nations Organization Interim Security Force for Abyei ,15-Jun,Present ,9.580496,28.43014,,,
UNMIK,United Nations Interim Administration Mission in Kosovo ,3-Jun,Present ,42.602636,20.902977,,,
UNMIL,United Nations Mission in Liberia ,7-Sep,Present ,6.428055,-9.429499,,,
UNMISS,United Nations Mission in the Republic of South Sudan ,15-Jul,Present ,7.963092,30.15893,,,
UNMIT,United Nations Integrated Mission in Timor-Leste ,10-Aug,16-Dec,-8.874217,125.727539,,,
UNMOGIP,United Nations Military Observer Group in India and Pakistan ,Jan-53,Present ,28.616152,77.238208,,,
UNOCI,United Nations Operation in Côte d’Ivoire ,8-Apr,Present ,5,-5,,,
UNPOS,United Nations Political Office for Somalia,,,5.152149,46.199616,,,
UNSMIS,United Nations Supervision Mission in Syria ,16-Apr,16-Aug,34.802075,38.996815,,,
UNTSO,United Nations Truce Supervision Organization ,May-52,Present ,31.975154,35.897516,,,
West Africa,West Africa,,,13.531665,-2.460415,,,
MINUSMA,United Nations Multidimensional Integrated Stabilization Mission in Mali ,17-Apr,Present ,17.570692,-3.996166,,,
